anios_egresado,trabaja_en_sector,rol_actual,tiempo_empleo,nivel_ingles,frecuencia_ia,impacto_ia,factor_contratacion,ingresos,lenguajes,frameworks,herramientas
Menos de 1 año,Sí,Desarrollo Web Frontend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite resolver más rápido,Portafolio,500-1000,"JavaScript / TypeScript,SQL","React / Next.js","Git,GitHub,Docker,Jira"
1-3 años,Sí,Desarrollo Web Backend,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,"Java,SQL,Python","Spring Boot,Node.js","Git,Docker,AWS,Linux"
4-6 años,Sí,DevOps / Cloud,3-6 meses,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Pruebas técnicas,2001-4000,"Go,Python,SQL","Ninguno","Kubernetes,AWS,Docker,GitHub Actions,Terraform"
Más de 6 años,Sí,Gestión de Proyectos,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,No ha tenido impacto significativo,Inglés y habilidades blandas,Más de 4000,"SQL,Python","Ninguno","Jira,Scrum,Confluence"
1-3 años,Sí,Ciencia de Datos / Analítica,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"Python,SQL","Django / FastAPI","Git,Linux,Docker,AWS"
Menos de 1 año,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Avanzado,Diariamente,Me permite asumir tareas más complejas,Portafolio,1001-2000,"JavaScript / TypeScript,SQL","React,Node.js","Git,GitHub,Docker,Jira"
4-6 años,Sí,Redes / Infraestructura,Más de un año,Intermedio,Ocasionalmente,Tendrá un impacto menor,Certificaciones externas,500-1000,"Python,C","Ninguno","Linux,AWS,Cisco"
Más de 6 años,Sí,Desarrollo de IA,3-6 meses,Fluido / Nativo,Diariamente,Me permite asumir tareas más complejas,Pruebas técnicas,Más de 4000,"Python,C++","Django,FastAPI","Git,Docker,Kubernetes,Linux"
1-3 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,1001-2000,"Java,Go,SQL","Spring Boot","Git,Docker,AWS,Jira"
Menos de 1 año,Sí,Desarrollo Web Frontend,Menos de 3 meses,Básico,Diariamente,Me permite resolver más rápido,Portafolio,500-1000,"JavaScript / TypeScript","React,Angular","Git,GitHub"
1-3 años,Sí,Gestión de Proyectos,Ya trabajaba antes de graduarme,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,Java,Node.js,Scrum
Menos de 1 año,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,"Java,JavaScript / TypeScript,Python","Angular,React,React / Next.js",Jira
4-6 años,Sí,Gestión de Proyectos,Menos de 3 meses,Básico,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,Más de 4000,"C,C++,Go",Spring Boot,Ninguna
Menos de 1 año,Sí,Desarrollo Web Frontend,3-6 meses,Intermedio,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,Más de 4000,No utilizo lenguajes de programación en mi rol actual,"FastAPI,React / Next.js",Ninguna
Más de 6 años,Sí,Desarrollo Web Fullstack,Ya trabajaba antes de graduarme,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Portafolio,1001-2000,Go,"React,Spring Boot","Confluence,Kubernetes"
1-3 años,Sí,DevOps / Cloud,Menos de 3 meses,Intermedio,Ocasionalmente,Me permite asumir tareas más complejas,Pruebas técnicas,2001-4000,"Go,SQL",Ninguno,Docker
4-6 años,Sí,DevOps / Cloud,Ya trabajaba antes de graduarme,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,"C++,SQL",Angular,"AWS,Kubernetes"
1-3 años,Sí,Desarrollo Web Backend,Más de un año,Avanzado,Nunca,Tendrá un impacto menor,Pruebas técnicas,2001-4000,"C++,JavaScript / TypeScript,Python","Angular,Django / FastAPI","Cisco,Git,Linux"
Más de 6 años,Sí,Desarrollo Web Fullstack,Más de un año,Fluido / Nativo,Ocasionalmente,Me permite resolver más rápido,Experiencia / Portafolio,2001-4000,Go,Ninguno,"Cisco,Scrum"
Más de 6 años,Sí,DevOps / Cloud,3-6 meses,Fluido / Nativo,Diariamente,Me permite resolver más rápido,Portafolio,500-1000,"Go,JavaScript / TypeScript","Angular,Django / FastAPI",Docker
Menos de 1 año,Sí,DevOps / Cloud,3-6 meses,Básico,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,500-1000,"Java,JavaScript / TypeScript",React,"GitHub,Jira"
Menos de 1 año,Sí,Desarrollo Web Backend,Más de un año,Avanzado,Diariamente,Me permite asumir tareas más complejas,Portafolio,Más de 4000,"Go,Java",Angular,"AWS,Confluence,Kubernetes"
4-6 años,Sí,Gestión de Proyectos,Más de un año,Intermedio,Diariamente,Tendrá un impacto menor,Portafolio,1001-2000,"C++,Go,Python",Ninguno,"GitHub,Jira"
Más de 6 años,Sí,Desarrollo Web Backend,Más de un año,Básico,Diariamente,Me permite asumir tareas más complejas,Inglés y habilidades blandas,1001-2000,Python,"Django / FastAPI,FastAPI","Cisco,Confluence,Git"
4-6 años,Sí,Gestión de Proyectos,Más de un año,Avanzado,Ocasionalmente,Me permite asumir tareas más complejas,Portafolio,1001-2000,"C,C++,Python",React / Next.js,"AWS,Cisco,Git"
Más de 6 años,Sí,Desarrollo Web Frontend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Me permite asumir tareas más complejas,Certificaciones externas,500-1000,"Go,SQL","React,Spring Boot",Kubernetes
Menos de 1 año,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Avanzado,Diariamente,Me permite asumir tareas más complejas,Experiencia / Portafolio,1001-2000,JavaScript / TypeScript,Angular,"Docker,Git,Jira"
Menos de 1 año,Sí,DevOps / Cloud,3-6 meses,Avanzado,Ocasionalmente,Me permite resolver más rápido,Pruebas técnicas,Más de 4000,"Java,JavaScript / TypeScript","FastAPI,Spring Boot","AWS,GitHub,Kubernetes,Terraform"
Más de 6 años,Sí,Desarrollo Web Fullstack,Menos de 3 meses,Intermedio,Diariamente,Me permite resolver más rápido,Experiencia / Portafolio,500-1000,"C,JavaScript / TypeScript",Ninguno,Terraform
4-6 años,Sí,Desarrollo Web Backend,Ya trabajaba antes de graduarme,Intermedio,Diariamente,Tendrá un impacto menor,Pruebas técnicas,Más de 4000,"Python,SQL",Spring Boot,"Cisco,Git,Scrum,Terraform"
4-6 años,Sí,Desarrollo de IA,Ya trabajaba antes de graduarme,Avanzado,Ocasionalmente,Tendrá un impacto menor,Certificaciones externas,2001-4000,No utilizo lenguajes de programación en mi rol actual,"React,Spring Boot",Confluence
