semestre,area_aspirada,meta_graduacion,frecuencia_ia,impacto_ia,horas_autonomas,factor_empleo,lenguajes,frameworks,herramientas
1,Desarrollo Web Frontend,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Mi portafolio de proyectos,"JavaScript / TypeScript,Python","React / Next.js,Node.js","Git,GitHub,Docker"
3,No lo sé aún,No lo sé aún,Nunca,No estoy seguro,0 horas,El título universitario,Ninguno,Ninguno,Ninguna
5,Ciencia de Datos / Analítica,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Certificaciones externas,"Python,SQL","Django / FastAPI","Git,Linux,Jira"
2,Desarrollo Web Backend,Emprender,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,"Java,SQL,Python","Spring Boot,Node.js","Git,Docker,AWS"
7,Desarrollo de IA,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Portafolio,"Python,C++","Django,React","Git,Linux,Docker,Kubernetes"
9,Ciberseguridad,Trabajar de forma remota,Rara vez,Será una herramienta obligatoria,De 6 a 10 horas,Inglés y habilidades blandas,"Python,C","Ninguno","Linux,Git,AWS"
4,Desarrollo Web Fullstack,Trabajar en empresa local,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"JavaScript / TypeScript,SQL","React,Node.js,Angular","Git,GitHub,Docker,Jira"
6,Redes / Infraestructura,Trabajar en empresa local,Ocasionalmente,Tendrá un impacto menor,0 horas,Certificaciones externas,SQL,"Ninguno","Linux,AWS,Git"
8,DevOps / Cloud,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,"Python,Go,SQL","Node.js,Django","Docker,Kubernetes,AWS,GitHub Actions"
10,Gestión de Proyectos,Emprender,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Inglés y habilidades blandas,"SQL,Python","Ninguno","Jira,Scrum,Git"
1,Desarrollo Web Frontend,No lo sé aún,Nunca,No estoy seguro,0 horas,El título universitario,Ninguno,Ninguno,Ninguna
2,Desarrollo Web Backend,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,"Java,SQL","Spring Boot","Git,GitHub"
5,Desarrollo de IA,Trabajar de forma remota,Diariamente,Reemplazará gran parte del trabajo humano,Más de 10 horas,Portafolio,"Python,JavaScript / TypeScript","Django,React","Git,Linux,Docker"
5,Desarrollo Web Frontend,Trabajar en empresa local,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 6 a 10 horas,Inglés y habilidades blandas,Ninguno,"Django,React / Next.js",Scrum
5,Desarrollo de IA,Emprender,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Portafolio,"Go,Python,SQL",Node.js,Jira
1,Ciencia de Datos / Analítica,Trabajar de forma remota,Ocasionalmente,Será una herramienta obligatoria,0 horas,El título universitario,Ninguno,"Angular,Django / FastAPI,React / Next.js","Jira,Linux,Scrum"
1,Ciberseguridad,Emprender,Diariamente,No estoy seguro,Más de 10 horas,El título universitario,"Go,Java",Django / FastAPI,AWS
6,Ciberseguridad,Trabajar en empresa local,Diariamente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,El título universitario,C,"Node.js,React",Git
2,Desarrollo Web Frontend,Trabajar en empresa local,Ocasionalmente,Será una herramienta obligatoria,Más de 10 horas,Inglés y habilidades blandas,C,"React,Spring Boot",Docker
2,Desarrollo de IA,Trabajar en empresa local,Diariamente,Tendrá un impacto menor,De 1 a 5 horas,Portafolio,"C++,JavaScript / TypeScript,SQL","Django,React / Next.js",Docker
7,Ciencia de Datos / Analítica,Trabajar en empresa local,Ocasionalmente,Tendrá un impacto menor,De 6 a 10 horas,Mi portafolio de proyectos,"C,Go,JavaScript / TypeScript","Angular,Django / FastAPI","Docker,GitHub,Jira"
3,Ciencia de Datos / Analítica,No lo sé aún,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Portafolio,"C,Go,Java","Angular,Django,Node.js",Docker
4,DevOps / Cloud,Trabajar de forma remota,Nunca,Será una herramienta obligatoria,0 horas,Mi portafolio de proyectos,"Go,Java,Python",Ninguno,"GitHub,Jira,Scrum"
4,Desarrollo Web Frontend,Emprender,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,Certificaciones externas,Go,"Angular,Node.js","AWS,Linux,Scrum"
10,Ciberseguridad,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 1 a 5 horas,El título universitario,"C++,Python",React / Next.js,"Git,Linux,Scrum"
8,DevOps / Cloud,Trabajar en empresa local,Ocasionalmente,Reemplazará gran parte del trabajo humano,De 1 a 5 horas,Portafolio,"C++,Go,SQL",Spring Boot,"Git,GitHub,Linux"
5,Desarrollo Web Fullstack,Trabajar de forma remota,Diariamente,Será una herramienta obligatoria,De 6 a 10 horas,Certificaciones externas,Ninguno,"Django,React / Next.js",Linux
4,Desarrollo Web Backend,Trabajar en empresa local,Ocasionalmente,No estoy seguro,0 horas,Inglés y habilidades blandas,"C++,Go,JavaScript / TypeScript","Node.js,React,React / Next.js","GitHub Actions,Linux"
8,Gestión de Proyectos,Trabajar en empresa local,Nunca,Será una herramienta obligatoria,Más de 10 horas,Inglés y habilidades blandas,C,"Angular,Django,Spring Boot",AWS
2,Desarrollo Web Frontend,Emprender,Nunca,Será una herramienta obligatoria,0 horas,El título universitario,"C++,JavaScript / TypeScript,Python","Django,Node.js,React / Next.js","Kubernetes,Linux"
